game_id,team_id,sub_count,avg_sub,total_shots_secondHalf,total_sub_time
1834247,36,3,75.33333333333333,17.0,44
1834247,134,5,84.6,5.0,40
1834248,44,5,72.0,14.0,90
1834248,45,5,72.6,2.0,87
1834249,109,5,74.4,6.0,78
1834249,7614,5,68.2,7.0,109
1834250,37,5,80.8,11.0,46
1834250,45,5,67.4,3.0,113
1834251,42,2,85.0,4.0,10
1834251,44,4,64.5,5.0,102
1834252,1206,5,60.4,7.0,148
1834252,1211,5,74.2,10.0,79
1834253,4852,5,72.4,9.0,88
1834253,7614,5,73.6,6.0,82
1834254,283,5,64.8,6.0,126
1834254,796,5,77.0,4.0,65
1834255,41,5,65.6,5.0,122
1834255,50,5,73.6,10.0,82
1834256,42,5,76.4,10.0,68
1834256,50,5,74.0,5.0,80
1834257,109,5,62.8,10.0,136
1834257,134,5,76.4,8.0,68
1834258,42,5,70.0,4.0,103
1834258,1730,5,67.6,4.0,112
1834259,134,5,65.2,8.0,124
1834259,1730,4,65.75,9.0,97
1834260,33,4,69.0,8.0,84
1834260,1206,5,65.6,8.0,122
1834261,33,3,77.0,10.0,39
1834261,37,3,72.66666666666667,7.0,52
1834262,44,4,71.0,4.0,76
1834262,796,5,66.6,5.0,117
1834263,796,5,67.6,10.0,112
1834263,7614,5,76.4,6.0,68
1834264,219,4,68.5,8.0,86
1834264,796,5,71.8,8.0,91
1834265,44,5,71.2,6.0,94
1834265,4852,5,66.2,5.0,119
1834266,33,5,78.6,8.0,60
1834266,109,4,72.75,12.0,69
1834267,283,4,77.0,7.0,52
1834267,4852,5,74.6,4.0,78
1834268,219,3,78.66666666666667,4.0,34
1834268,283,5,75.4,6.0,73
1834269,36,5,76.8,9.0,66
1834269,1211,5,73.4,8.0,83
1834270,36,4,76.75,14.0,53
1834270,7614,5,68.8,5.0,106
1834271,36,4,71.0,14.0,76
1834271,45,5,75.0,5.0,75
1834272,50,5,58.4,14.0,158
1834272,109,5,70.4,6.0,98
1834273,41,5,64.6,17.0,127
1834273,219,5,70.4,3.0,98
1834274,37,5,57.8,16.0,161
1834274,41,5,72.2,2.0,89
1834275,283,5,58.8,9.0,156
1834275,1730,5,72.4,7.0,88
1834276,37,5,70.2,5.0,99
1834276,50,5,71.0,6.0,95
1834277,44,4,70.5,9.0,82
1834277,283,4,80.75,6.0,37
1834278,45,5,78.4,11.0,61
1834278,1211,5,60.8,9.0,146
1834279,33,5,68.2,11.0,109
1834279,45,5,62.6,10.0,137
1834280,109,5,55.0,10.0,175
1834280,1211,5,78.2,5.0,60
1834281,1730,5,56.6,7.0,167
1834281,4852,5,67.8,9.0,111
1834282,42,5,64.8,5.0,126
1834282,219,5,77.4,11.0,63
1834283,50,5,73.4,4.0,83
1834283,1730,5,61.2,6.0,144
1834284,41,5,70.4,9.0,98
1834284,134,5,61.2,6.0,144
1834285,33,4,61.5,4.0,114
1834285,42,5,73.0,9.0,89
1834286,37,5,58.2,11.0,159
1834286,1206,5,60.6,5.0,147
1834287,219,4,75.75,7.0,57
1834287,7614,5,71.4,5.0,93
1834288,33,5,68.6,1.0,108
1834288,36,5,58.2,12.0,159
1834289,134,5,84.4,12.0,28
1834289,4852,5,70.4,14.0,98
1834290,41,5,73.6,7.0,82
1834290,44,5,50.4,4.0,198
1834291,796,5,69.4,8.0,103
1834291,1206,5,60.4,9.0,148
1834292,45,5,78.2,8.0,59
1834292,134,4,72.0,17.0,72
1834293,41,5,69.2,6.0,104
1834293,1206,5,63.8,7.0,131
1834294,50,5,74.2,9.0,79
1834294,4852,5,63.4,3.0,133
1834295,50,5,74.6,8.0,77
1834295,7614,5,66.2,6.0,119
1834296,37,5,65.0,12.0,125
1834296,42,5,63.8,0.0,131
1834297,1211,5,68.8,9.0,106
1834297,4852,3,73.66666666666667,10.0,49
1834298,219,4,68.5,2.0,86
1834298,1730,5,66.8,20.0,116
1834299,36,2,75.0,10.0,30
1834299,42,5,79.0,7.0,55
1834300,796,5,64.4,3.0,128
1834300,1211,5,63.8,5.0,131
1834301,44,5,61.2,7.0,144
1834301,1730,5,78.2,10.0,59
1834302,109,4,55.5,8.0,138
1834302,1206,5,65.8,7.0,121
1834303,134,4,73.0,9.0,70
1834303,219,4,67.75,12.0,89
1834304,283,4,76.25,7.0,55
1834304,7614,5,65.4,6.0,123
1834305,45,5,65.0,4.0,125
1834305,796,5,70.0,6.0,100
1834306,36,4,78.25,2.0,47
1834306,37,4,75.75,11.0,57
1834307,37,5,65.0,8.0,125
1834307,109,5,66.2,2.0,119
1834308,1730,5,65.0,5.0,125
1834308,7614,5,75.6,13.0,72
1834309,33,3,77.0,7.0,39
1834309,283,3,77.33333333333333,7.0,38
1834310,44,5,73.0,12.0,85
1834310,109,4,73.5,3.0,66
1834311,36,4,77.0,9.0,52
1834311,41,5,55.8,4.0,171
1834312,42,5,73.8,9.0,81
1834312,1211,5,51.8,4.0,191
1834313,37,5,71.0,9.0,95
1834313,796,5,66.4,3.0,118
1834314,50,5,65.4,5.0,123
1834314,283,5,73.6,2.0,82
1834315,44,3,79.0,10.0,36
1834315,7614,5,69.0,2.0,105
1834316,33,4,78.25,3.0,47
1834316,41,5,73.2,12.0,84
1834317,45,5,72.0,8.0,90
1834317,109,5,53.8,6.0,181
1834318,219,5,62.6,4.0,137
1834318,4852,4,70.25,8.0,79
1834319,283,4,75.5,4.0,58
1834319,1211,5,68.6,6.0,107
1834320,134,4,79.25,3.0,49
1834320,796,5,66.6,5.0,117
1834321,50,5,70.6,6.0,97
1834321,219,4,74.75,7.0,63
1834322,45,5,69.2,12.0,104
1834322,1206,4,69.75,4.0,81
1834323,33,5,67.2,8.0,114
1834323,1730,4,70.5,1.0,78
1834324,36,5,68.4,9.0,108
1834324,1206,5,66.0,4.0,120
1834325,42,5,56.4,14.0,168
1834325,134,5,70.8,8.0,96
1834326,41,5,59.0,13.0,155
1834326,1211,5,56.0,3.0,170
1834327,1206,5,65.6,5.0,122
1834327,4852,5,71.8,10.0,91
1834328,41,4,67.0,16.0,92
1834328,45,5,67.4,4.0,113
1834329,134,5,78.2,3.0,59
1834329,7614,4,73.0,8.0,68
1834330,33,5,63.2,2.0,134
1834330,4852,5,71.8,12.0,91
1834331,42,5,70.2,8.0,99
1834331,1206,4,72.0,10.0,72
1834332,1211,4,68.0,7.0,88
1834332,1730,4,73.75,5.0,65
1834333,44,5,64.0,1.0,130
1834333,219,4,85.25,7.0,19
1834334,50,4,79.75,5.0,42
1834334,796,5,75.0,5.0,75
1834335,36,3,75.0,6.0,45
1834335,109,5,74.6,10.0,79
1834336,37,5,77.6,9.0,62
1834336,283,4,82.0,1.0,32
1834337,36,4,66.75,10.0,93
1834337,4852,5,58.6,2.0,157
1834338,41,5,75.6,11.0,72
1834338,109,5,73.6,7.0,82
1834339,37,5,81.0,20.0,48
1834339,1730,5,65.4,0.0,123
1834340,44,5,76.0,12.0,70
1834340,50,5,68.8,2.0,106
1834341,42,5,76.8,3.0,66
1834341,45,4,78.25,8.0,47
1834342,1211,4,76.25,10.0,55
1834342,7614,5,63.8,7.0,131
1834343,33,5,74.4,4.0,80
1834343,796,5,49.6,10.0,202
1834344,134,5,61.0,7.0,145
1834344,283,3,80.33333333333333,12.0,31
1834345,219,5,81.2,7.0,44
1834345,1206,5,51.0,4.0,195
1834346,33,5,77.2,6.0,64
1834346,7614,5,58.8,7.0,156
1834347,37,4,58.25,10.0,127
1834347,44,4,62.75,2.0,109
1834348,45,5,65.8,10.0,121
1834348,4852,5,60.4,6.0,148
1834349,41,5,75.6,6.0,72
1834349,42,4,80.0,15.0,40
1834350,50,5,79.4,8.0,53
1834350,134,5,70.6,13.0,97
1834351,109,5,59.8,3.0,151
1834351,1730,3,72.0,10.0,54
1834352,219,4,84.75,7.0,21
1834352,1211,5,67.0,8.0,115
1834353,36,4,67.5,4.0,90
1834353,796,5,77.2,4.0,64
1834354,283,4,80.25,3.0,39
1834354,1206,5,68.8,6.0,106
1834355,36,4,75.25,3.0,59
1834355,283,5,84.6,10.0,27
1834356,41,5,75.8,5.0,76
1834356,796,5,77.0,8.0,65
1834357,283,4,75.25,5.0,59
1834357,1211,5,67.2,3.0,114
1834358,42,4,64.5,6.0,102
1834358,219,5,67.4,10.0,113
1834359,36,3,77.66666666666667,8.0,37
1834359,1206,5,67.4,2.0,113
1834360,36,4,84.5,9.0,24
1834360,109,3,77.33333333333333,5.0,38
1834361,796,5,74.0,13.0,80
1834361,7614,5,61.6,4.0,142
1834362,37,5,78.8,11.0,56
1834362,41,4,74.5,4.0,62
1834363,37,5,69.4,7.0,103
1834363,283,4,73.25,5.0,67
1834364,50,4,77.75,7.0,49
1834364,109,5,71.2,14.0,94
1834365,219,2,78.0,10.0,24
1834365,7614,5,67.0,7.0,115
1834366,44,5,79.2,10.0,54
1834366,219,5,74.4,9.0,78
1834367,283,4,76.25,1.0,55
1834367,1730,5,64.2,2.0,129
1834368,36,5,74.6,6.0,77
1834368,45,5,61.6,3.0,142
1834369,41,5,70.2,4.0,99
1834369,45,5,71.2,14.0,94
1834370,37,4,80.25,12.0,39
1834370,42,4,66.25,0.0,95
1834371,134,5,64.4,5.0,128
1834371,4852,5,50.6,13.0,197
1834372,1211,4,67.5,8.0,90
1834372,1730,5,70.8,7.0,96
1834373,283,4,67.5,5.0,90
1834373,7614,5,68.6,9.0,107
1834374,33,5,75.2,3.0,74
1834374,42,4,64.5,4.0,102
1834375,50,5,66.2,5.0,119
1834375,796,5,65.4,4.0,123
1834376,41,4,74.75,3.0,61
1834376,44,4,80.5,8.0,38
1834377,50,4,74.5,6.0,62
1834377,1730,3,70.33333333333333,4.0,59
1834378,33,5,54.4,8.0,178
1834378,4852,4,77.0,9.0,52
1834379,796,5,64.2,8.0,129
1834379,1206,5,72.2,5.0,89
1834380,796,5,62.0,10.0,140
1834380,1211,5,63.6,11.0,132
1834381,134,5,71.0,9.0,95
1834381,7614,5,73.4,13.0,83
1834382,50,5,77.4,5.0,65
1834382,4852,5,55.0,8.0,175
1834383,109,5,79.8,8.0,51
1834383,1211,4,71.25,5.0,75
1834384,42,5,80.8,7.0,46
1834384,1206,5,47.6,6.0,212
1834385,33,5,86.2,7.0,21
1834385,36,4,66.5,10.0,94
1834386,44,5,80.8,7.0,46
1834386,283,4,73.0,4.0,68
1834387,219,5,68.0,2.0,110
1834387,1730,5,65.8,5.0,121
1834388,1211,5,74.0,4.0,80
1834388,7614,5,62.8,10.0,136
1834389,45,5,73.6,8.0,82
1834389,134,3,76.0,4.0,42
1834390,36,5,51.4,14.0,193
1834390,42,4,78.5,6.0,48
1834392,36,2,87.5,9.0,6
1834392,37,5,70.6,2.0,97
1834393,36,4,73.25,3.0,67
1834393,4852,5,77.4,3.0,65
1834394,33,4,74.25,5.0,65
1834394,41,5,79.0,5.0,55
1834395,37,5,64.4,8.0,128
1834395,109,4,81.5,7.0,34
1834396,45,4,69.75,5.0,81
1834396,1206,5,62.4,7.0,138
1834397,42,5,74.0,6.0,81
1834397,45,5,65.2,7.0,124
1834398,219,5,72.8,4.0,86
1834398,4852,5,58.4,6.0,158
1834399,44,5,72.6,9.0,88
1834399,1730,5,68.0,5.0,110
1834400,45,5,68.8,7.0,106
1834400,796,5,66.2,8.0,119
1834401,1211,3,50.333333333333336,8.0,119
1834401,4852,3,66.0,20.0,72
1834402,44,5,67.4,9.0,113
1834402,50,5,74.4,9.0,78
1834403,50,2,59.5,8.0,61
1834403,7614,5,68.2,9.0,109
1834404,33,5,58.4,10.0,158
1834404,283,4,63.25,6.0,110
1834405,42,5,56.8,11.0,166
1834405,1211,4,79.75,4.0,41
1834406,134,5,71.6,7.0,92
1834406,219,5,78.0,10.0,60
1834407,41,5,65.6,3.0,124
1834407,1206,5,71.8,9.0,91
1834408,1730,3,70.66666666666667,6.0,58
1834408,7614,5,72.4,8.0,88
1834409,36,3,61.666666666666664,14.0,85
1834409,41,5,74.8,6.0,76
1834410,134,5,65.4,2.0,123
1834410,796,5,56.8,13.0,166
1834411,37,4,76.25,10.0,61
1834411,1730,5,70.6,4.0,97
1834412,44,3,58.0,20.0,96
1834412,7614,5,73.0,4.0,85
1834413,44,5,61.0,8.0,145
1834413,109,4,84.25,9.0,23
1834414,1206,5,56.0,11.0,170
1834414,4852,4,82.25,8.0,31
1834415,50,3,79.66666666666667,2.0,32
1834415,283,5,80.4,4.0,48
1834416,219,4,76.5,6.0,55
1834416,1206,4,74.5,4.0,62
1834417,42,5,75.0,11.0,75
1834417,134,5,75.8,5.0,71
1834418,33,3,80.0,4.0,30
1834418,796,4,70.5,7.0,78
1834419,37,5,67.0,11.0,115
1834419,45,5,60.0,3.0,150
1834420,33,4,73.5,11.0,66
1834420,1730,4,79.75,6.0,41
1834421,41,5,75.6,6.0,72
1834421,109,5,63.4,7.0,133
1834422,50,4,69.75,12.0,81
1834422,219,1,45.0,7.0,45
1834423,4852,5,79.6,1.0,57
1834423,7614,3,63.333333333333336,7.0,80
1834424,37,2,72.5,10.0,35
1834424,796,5,70.6,6.0,97
1834425,134,5,72.8,2.0,86
1834425,283,4,72.0,15.0,72
1834426,44,5,77.6,12.0,62
1834426,796,5,67.0,2.0,115
1834427,36,5,66.4,9.0,118
1834427,796,5,70.8,4.0,96
1834428,41,3,78.0,10.0,36
1834428,1211,3,78.33333333333333,6.0,35
1834429,45,5,70.6,11.0,97
1834429,109,5,66.8,8.0,116
1834430,41,5,65.2,4.0,124
1834430,42,4,83.75,8.0,26
1834431,42,5,66.8,1.0,116
1834431,50,5,75.6,9.0,72
1834432,45,4,62.75,7.0,109
1834432,283,4,74.75,1.0,61
1834433,37,4,64.25,15.0,103
1834433,44,4,75.0,7.0,60
1834434,33,5,65.2,9.0,124
1834434,109,4,86.75,5.0,19
1834435,42,4,82.25,15.0,31
1834435,7614,4,75.0,11.0,60
1834436,45,5,66.6,9.0,117
1834436,4852,5,59.8,9.0,151
1834437,219,4,66.0,8.0,96
1834437,283,4,72.75,5.0,69
1834438,33,5,61.8,9.0,141
1834438,1211,3,82.66666666666667,8.0,23
1834439,219,3,62.333333333333336,10.0,83
1834439,1211,4,77.0,6.0,52
1834440,134,5,63.0,2.0,135
1834440,1730,5,63.0,12.0,135
1834441,796,5,60.2,7.0,149
1834441,4852,5,82.0,7.0,40
1834442,33,4,77.5,10.0,50
1834442,7614,5,75.2,8.0,74
1834443,109,5,55.2,8.0,174
1834443,219,5,76.8,11.0,66
1834444,50,5,70.0,14.0,100
1834444,134,5,68.0,6.0,110
1834445,50,5,77.0,1.0,75
1834445,1206,4,71.5,11.0,74
1834446,109,3,82.66666666666667,19.0,22
1834446,1730,5,66.8,7.0,116
1834447,41,5,71.6,9.0,92
1834447,7614,4,75.75,3.0,57
1834448,283,4,63.25,6.0,107
1834448,1206,5,67.0,1.0,115
1834449,44,5,78.8,12.0,56
1834449,1206,5,64.2,1.0,129
1834450,1206,5,74.6,6.0,77
1834450,7614,5,68.0,7.0,114
1834451,37,5,67.4,9.0,113
1834451,1211,5,69.6,5.0,102
1834452,44,5,62.0,8.0,140
1834452,134,5,74.2,3.0,79
1834453,42,5,76.2,5.0,69
1834453,4852,5,51.4,13.0,193
1834454,37,5,65.2,6.0,124
1834454,4852,5,63.0,2.0,135
1834455,45,4,80.75,6.0,37
1834455,50,4,73.0,4.0,68
1834456,42,4,72.25,9.0,71
1834456,109,5,76.0,5.0,70
1834457,796,5,69.2,4.0,104
1834457,1730,5,68.8,11.0,106
1834458,50,5,78.0,3.0,60
1834458,1211,5,62.4,10.0,138
1834459,36,4,50.0,5.0,160
1834459,219,5,85.8,9.0,24
1834460,45,3,48.333333333333336,8.0,125
1834460,1730,4,70.75,6.0,77
1834461,33,4,75.25,7.0,60
1834461,134,5,72.0,7.0,90
1834462,33,5,68.6,5.0,107
1834462,219,4,82.25,10.0,32
1834463,109,5,73.2,4.0,84
1834463,283,5,55.6,2.0,172
1834464,41,3,83.33333333333333,4.0,20
1834464,796,4,81.5,6.0,35
1834465,36,3,80.33333333333333,4.0,29
1834465,283,4,80.5,6.0,38
1834466,36,5,71.0,5.0,95
1834466,1730,5,63.0,8.0,135
1834467,41,4,69.25,11.0,83
1834467,4852,5,79.6,4.0,54
1834468,37,5,73.8,7.0,81
1834468,219,5,71.4,6.0,93
1834469,45,5,78.8,5.0,56
1834469,7614,5,66.6,5.0,117
1834470,44,5,74.0,6.0,80
1834470,1211,4,61.25,6.0,115
1834471,42,4,78.5,8.0,46
1834471,283,5,76.6,3.0,67
1834472,33,5,69.8,2.0,101
1834472,50,5,68.4,7.0,108
1834473,109,4,61.0,6.0,116
1834473,796,5,83.2,4.0,42
1834474,134,5,69.8,10.0,101
1834474,1206,5,75.2,12.0,74
1834475,37,3,69.0,11.0,63
1834475,7614,5,76.8,2.0,66
1834476,33,5,71.4,6.0,93
1834476,44,5,75.6,9.0,72
1834477,109,5,71.4,8.0,105
1834477,4852,5,64.8,9.0,126
1834478,36,4,61.0,6.0,116
1834478,50,4,76.0,2.0,56
1834479,1206,4,59.75,2.0,121
1834479,1730,5,61.6,21.0,142
1834480,45,4,80.5,3.0,40
1834480,219,5,54.8,8.0,176
1834481,134,5,77.8,5.0,61
1834481,1211,3,85.33333333333333,15.0,17
1834482,42,5,82.0,4.0,40
1834482,796,5,75.4,9.0,73
1834483,41,5,72.4,12.0,88
1834483,283,3,78.33333333333333,2.0,41
1834484,36,5,67.2,5.0,114
1834484,44,5,74.4,5.0,78
1834485,41,5,45.6,16.0,222
1834485,1730,4,67.25,3.0,91
1834486,37,5,76.0,14.0,72
1834486,134,5,71.0,10.0,95
1834487,36,2,74.5,10.0,31
1834487,219,5,58.0,6.0,160
1834488,50,5,71.2,7.0,94
1834488,1211,4,75.0,8.0,60
1834489,41,5,70.8,9.0,96
1834489,7614,4,67.25,1.0,91
1834490,33,5,68.2,8.0,109
1834490,219,4,64.5,6.0,102
1834491,37,5,62.2,14.0,139
1834491,1211,5,57.2,5.0,164
1834492,44,3,72.0,10.0,54
1834492,134,5,84.0,7.0,36
1834493,45,5,79.4,12.0,53
1834493,50,3,73.0,3.0,51
1834494,42,5,77.2,6.0,64
1834494,109,5,75.8,7.0,71
1834495,42,5,78.8,5.0,56
1834495,4852,4,60.0,8.0,120
1834496,1206,4,64.5,15.0,102
1834496,7614,5,73.6,3.0,84
1834497,33,4,67.25,11.0,91
1834497,134,5,75.6,1.0,72
1834498,45,5,73.2,9.0,84
1834498,7614,3,79.33333333333333,7.0,33
1834499,796,5,55.4,6.0,173
1834499,1730,5,66.8,5.0,116
1834500,44,5,68.0,5.0,110
1834500,1211,5,69.8,5.0,101
1834501,109,3,78.0,7.0,37
1834501,283,5,80.4,7.0,48
1834502,41,5,80.6,11.0,47
1834502,4852,5,69.4,6.0,103
1834503,44,4,51.5,10.0,154
1834503,1206,5,75.4,4.0,73
1834504,33,5,64.8,12.0,126
1834504,50,5,69.4,10.0,103
1834505,36,5,61.8,3.0,141
1834505,134,5,77.6,6.0,62
1834506,36,5,84.2,6.0,31
1834506,1730,5,64.4,4.0,128
1834507,37,3,59.0,8.0,93
1834507,219,3,57.666666666666664,4.0,97
1834508,41,5,67.0,2.0,115
1834508,50,5,57.0,2.0,165
1834509,134,5,82.6,8.0,37
1834509,1206,5,61.0,10.0,145
1834510,33,4,66.0,4.0,96
1834510,37,2,70.0,12.0,40
1834511,109,4,71.25,6.0,75
1834511,796,5,69.2,9.0,104
1834512,44,4,67.75,7.0,89
1834512,45,5,82.4,4.0,41
1834513,42,4,80.75,6.0,39
1834513,283,4,82.25,9.0,31
1834514,283,4,81.0,3.0,42
1834514,4852,5,60.4,5.0,148
1834515,36,5,77.4,11.0,63
1834515,50,5,72.6,3.0,87
1834516,41,4,67.5,13.0,90
1834516,283,4,77.5,7.0,51
1834517,42,5,71.4,15.0,93
1834517,1730,5,70.8,6.0,96
1834518,37,5,79.4,12.0,53
1834518,7614,4,77.0,3.0,52
1834519,45,5,54.0,21.0,180
1834519,219,5,75.2,7.0,74
1834520,219,5,67.8,4.0,111
1834520,796,5,71.4,1.0,93
1834521,134,5,79.4,1.0,53
1834521,1211,5,68.4,10.0,108
1834522,109,4,78.75,7.0,47
1834522,7614,2,69.5,7.0,41
1834523,42,5,85.6,3.0,24
1834523,796,5,61.6,9.0,142
1834524,1206,5,67.6,10.0,112
1834524,1211,3,82.0,4.0,25
1834525,33,5,66.8,12.0,116
1834525,44,4,77.25,2.0,51
1834526,36,3,57.666666666666664,8.0,97
1834526,7614,5,61.0,3.0,145
1834527,109,4,84.0,7.0,25
1834527,4852,5,54.2,6.0,179
1834528,42,4,65.75,12.0,97
1834528,44,4,51.75,5.0,153
1834529,1206,5,78.6,3.0,57
1834529,1730,5,51.0,8.0,195
1834530,45,5,77.4,8.0,67
1834530,1211,4,74.0,14.0,64
1834531,42,5,69.8,4.0,101
1834531,7614,5,75.0,13.0,75
1834532,37,5,65.6,4.0,122
1834532,50,5,71.0,6.0,95
1834533,36,4,77.5,2.0,50
1834533,44,5,76.2,4.0,69
1834534,1730,5,68.2,6.0,109
1834534,4852,5,71.0,8.0,95
1834535,33,5,78.8,7.0,56
1834535,1211,5,54.4,10.0,178
1834536,33,5,65.8,16.0,121
1834536,1206,5,71.8,1.0,91
1834537,796,5,58.8,3.0,156
1834537,4852,5,65.2,9.0,124
1834538,41,5,70.0,6.0,100
1834538,219,4,74.25,8.0,63
1834539,50,5,75.0,8.0,75
1834539,1206,4,66.5,12.0,94
1834540,109,5,68.4,6.0,108
1834540,134,5,80.2,12.0,49
1834541,41,5,71.2,6.0,94
1834541,1730,5,65.2,4.0,124
1834542,283,5,79.4,7.0,58
1834542,796,5,60.6,9.0,147
1834543,109,5,53.0,10.0,185
1834543,219,5,75.2,2.0,74
1834544,36,5,63.8,5.0,131
1834544,1211,5,67.6,13.0,112
1834545,37,2,65.5,15.0,49
1834545,134,5,75.2,5.0,76
1834546,41,5,68.6,7.0,107
1834546,134,5,86.2,9.0,19
1834547,45,4,77.5,2.0,50
1834547,283,4,76.5,7.0,54
1834548,37,5,60.0,17.0,150
1834548,1206,5,70.6,6.0,97
1834549,33,5,76.2,5.0,69
1834549,45,5,52.0,14.0,190
1834550,37,5,74.4,9.0,80
1834550,4852,5,70.6,2.0,97
1834551,44,5,68.8,6.0,106
1834551,4852,5,63.0,8.0,135
1834552,45,5,69.4,10.0,103
1834552,1730,4,72.25,6.0,71
